duration,budget,imdb_score,gross
178,237000000,7.9,760505847
169,300000000,7.1,309404152
148,245000000,6.8,200074175
164,250000000,8.5,448130642
,,7.1,
132,263700000,6.6,73058679
156,258000000,6.2,336530303
100,260000000,7.8,200807262
141,250000000,7.5,458991599
153,250000000,7.5,301956980
183,250000000,6.9,330249062
169,209000000,6.1,200069408
106,200000000,6.7,168368427
151,225000000,7.3,423032628
150,215000000,6.5,89289910
143,225000000,7.2,291021565
150,225000000,6.6,141614023
173,220000000,8.1,623279547
136,250000000,6.7,241063875
106,225000000,6.8,179020854
164,250000000,7.5,255108370
153,230000000,7,262030663
156,200000000,6.7,105219735
186,225000000,7.9,258355354
113,180000000,6.1,70083519
201,207000000,7.2,218051260
194,200000000,7.7,658672302
147,250000000,8.2,407197282
131,209000000,5.9,65173160
124,150000000,7,652177271
143,200000000,7.8,304360277
135,200000000,7.3,373377893
195,200000000,7.2,408992272
108,200000000,6.5,334185206
104,210000000,6.8,234360014
104,200000000,7.3,268488329
150,200000000,6,402076689
165,210000000,5.7,245428137
130,215000000,6.4,234903076
142,200000000,6.7,202853933
125,170000000,6.8,172051787
106,200000000,6.3,191450875
123,200000000,5.6,116593191
103,200000000,8.3,414984497
118,200000000,6.6,125320003
140,190000000,7.2,350034110
123,190000000,7,202351611
149,200000000,8,233914986
132,190000000,7.8,228756232
114,195000000,6.3,65171860
143,105000000,7.3,144812796
116,200000000,6.6,90755643
131,190000000,7,101785482
154,195000000,6.3,352358779
122,185000000,6.2,317011114
93,,6.8,123070338
93,185000000,7.2,237282182
122,185000000,7.5,130468626
98,180000000,8.4,223806889
91,140000000,6.2,140080850
158,200000000,5.8,166112167
96,200000000,6.8,137850096
127,176000000,5.4,47375327
110,180000000,6.6,124051759
150,180000000,6.9,291709845
144,178000000,7.3,154985087
152,185000000,9,533316061
96,175000000,8.3,292979556
94,175000000,6.5,198332128
126,140000000,7.9,318298180
126,170000000,7.5,73820094
106,170000000,4.8,113745408
112,145000000,5.2,102176165
123,175000000,6.9,161087183
96,175000000,5.4,100289690
113,178000000,7.9,100189501
176,175000000,6.1,88246220
118,175000000,5.8,150167630
95,175000000,8.3,356454367
106,175000000,7.8,362645141
124,200000000,7,312057433
132,170000000,6.1,155111815
97,180000000,7,241407328
130,170000000,7.6,208543795
109,,4.5,
128,175000000,6.3,38297305
136,170000000,7.8,259746958
93,165000000,6.4,238371987
130,190000000,6.5,93417865
102,165000000,7.9,222487711
101,165000000,7.8,189412677
100,165000000,6.6,665426
120,165000000,5.5,102315545
98,165000000,8.2,217387997
109,200000000,6.4,150350192
121,170000000,8.1,333130696
169,165000000,8.6,187991439
148,160000000,8.8,292568851
120,,8.2,
182,180000000,7.9,303001229
106,38000000,6.7,144512310
166,150000000,7.8,127490802
132,160000000,7.8,146405371
137,160000000,6.6,281666058
109,150000000,6.1,63143812
98,160000000,5.6,60655503
113,170000000,6.4,76846624
93,160000000,6.1,320706665
123,160000000,7.3,46978995
126,155000000,6.6,89732035
113,155000000,6.3,104383624
184,140000000,6.1,198539855
144,150000000,7.1,318759914
206,155000000,5.5,34293771
138,150000000,7.5,292000866
157,150000000,7.6,289994397
102,150000000,6.4,227946274
104,150000000,7.2,256386216
115,150000000,6.7,206456431
111,150000000,8,206435493
128,150000000,8.3,205343774
89,150000000,6.7,179982968
105,150000000,5.9,177243721
119,150000000,6.7,179883016
129,150000000,6.7,139259759
102,150000000,7.6,400736600
138,150000000,7.2,281492479
112,170000000,7.1,206360018
120,150000000,8.1,153629485
146,150000000,6.7,133375846
115,150000000,7,181015141
96,150000000,6.9,114053579
88,150000000,5.1,119420252
99,150000000,5.8,83640426
113,100000000,6.2,79711678
131,150000000,7.4,195000874
119,150000000,5.8,61937495
110,180000000,6.6,124051759
91,150000000,6.2,126597121
90,150000000,7.3,165230261
103,150000000,4.2,131564731
124,150000000,6.9,133382309
131,150000000,6.4,73103784
88,150000000,5.4,21379315
85,149000000,6.7,64459316
111,150000000,5.8,34964818
92,145000000,6.9,111505642
196,175000000,7.2,133228348
93,145000000,6.9,216366733
133,142000000,6.1,160201106
116,144000000,5.5,118099659
153,140000000,6.6,201573391
88,140000000,6.1,190418803
115,150000000,6.3,82161969
95,145000000,7.2,143523463
133,145000000,7.4,209364921
97,145000000,7.3,103400692
90,100000000,6.1,110332737
154,140000000,7.7,111110575
150,140000000,6.1,65007045
127,150000000,8,257704099
121,139000000,7.3,403706375
102,145000000,7.9,176997107
126,140000000,5.5,31141074
121,135000000,5,31704416
215,130000000,7.7,107503316
127,140000000,6.6,129734803
138,137000000,5.7,132122995
122,130000000,5.8,122512052
124,130000000,6,68642452
106,137000000,6.4,32131830
124,140000000,6.9,176636816
128,135000000,6.4,126930660
138,150000000,7.4,93926386
115,120000000,5.5,292298923
100,135000000,5.9,63992328
135,150000000,6.8,134518390
60,1500000,7.5,
117,140000000,6.8,52792307
156,135000000,8.1,183635922
96,135000000,6.5,83024900
107,135000000,7.2,123207194
92,132000000,6.7,83348920
115,110000000,8.1,227137090
92,130000000,7.6,215395021
117,130000000,7.4,180191634
146,130000000,7.6,424645577
115,120000000,5.5,292298923
94,135000000,6.7,177343675
116,132000000,6.5,234277056
147,130000000,6.6,138396624
90,130000000,6.7,149234747
101,110000000,6.4,118311368
138,125000000,5.8,101160529
107,135000000,7.4,77564037
142,130000000,7.8,249358727
165,130000000,6.6,49551662
100,130000000,4.9,60522097
82,127500000,6.5,137748063
,,7.5,
98,127000000,6.2,113733726
95,130000000,7.3,148337537
159,125000000,7.5,317557891
96,130000000,5.6,33592415
120,,8.2,
143,140000000,8.1,305388685
,,6.4,
123,125000000,6.7,337103873
174,125000000,6.6,217536138
101,103000000,6.4,131536019
134,110000000,7.5,214948780
132,125000000,7.3,209805005
129,125000000,7.5,186830669
106,125000000,5.8,163192114
113,65000000,7.5,119412921
102,85000000,6.6,32694788
135,125000000,6.7,113165635
125,125000000,3.7,107285004
110,123000000,6,260031035
124,125000000,6.4,186739919
123,125000000,6.1,215397307
130,140000000,6.4,182618434
92,130000000,5.6,131920333
127,120000000,8,124976634
123,110000000,5.2,115802596
123,120000000,7.1,108521835
107,120000000,4.8,100685880
