duration,imdb_score,budget,gross,release_month
101,3.3,1500000,NA,11
104,7.3,1.50E+07,71897215,3
111,7.5,1.20E+07,14616,11
97,7.2,1.60E+07,38176108,3
100,4.8,8.50E+07,66941559,10
107,6.4,8.00E+06,53481,2
85,7.2,6.00E+06,NA,5
96,8.9,350000,NA,3
108,5.6,2.20E+07,12232937,3
114,6.8,2.50E+07,71975611,7
120,6.1,4.20E+07,24375436,3
89,6.3,1.00E+06,NA,9
102,6.4,2.00E+07,64149837,3
168,7.6,4.00E+06,NA,11
142,5.9,3.50E+07,NA,12
107,5.9,7.60E+07,127083765,6
109,6.7,6.10E+07,75573300,8
96,4.8,3500000,NA,4
87,5.3,60000,536767,1
91,7.4,1.00E+06,4946250,6
127,7.2,5.00E+06,NA,3
101,5.9,6.00E+06,6851636,2
161,8.3,1.20E+07,56715371,4
158,5.8,2.00E+08,166112167,10
87,5.1,2500000,33349949,7
129,7.5,1.20E+07,261481,5
123,6.8,3.50E+07,81159365,3
93,5.9,1.30E+07,25675765,3
124,7.7,2.00E+07,16248701,9
109,7.2,4.20E+07,138447667,3
112,7.1,5.00E+07,191616238,6
96,7.1,NA,NA,8
108,7.7,1.50E+07,13060843,12
111,6.1,3.00E+07,76806312,1
103,6,4.30E+07,37035515,4
100,7,1.50E+07,28637507,4
88,5.2,3.00E+05,NA,1
123,6.2,2.80E+07,30688364,2
93,4.3,2.00E+07,11784000,5
82,4,6.00E+06,9821335,3
122,7.8,5.50E+07,53574088,9
113,6.6,3.20E+07,39568996,10
83,6.1,2.80E+07,37053924,8
117,7.7,6.50E+07,210592590,12
102,6.2,1.10E+08,106369117,3
125,5.9,4.20E+07,15738632,2
96,5.6,1.70E+07,37939782,3
128,7.5,4.00E+07,95001343,4
89,7.7,439000,2300000,2
128,6.3,1.75E+08,38297305,12
113,5.6,2.00E+07,17149,4
99,6.8,7.50E+07,120776832,2
100,7.7,8.00E+06,34963967,9
90,7.5,NA,84689,10
121,5.8,1.30E+07,16574731,8
154,6.8,9.00E+06,NA,5
95,5.3,3.00E+06,3559990,4
110,7,4.10E+07,116724075,11
80,7.1,2500000,99851,1
108,5.9,3.00E+07,16930884,2
123,6.5,4.00E+07,36283504,2
79,7.1,3.00E+07,31743332,4
79,7.1,3.00E+07,31743332,8
121,4.6,5.00E+06,4700361,9
135,8.2,5.80E+07,170708996,12
98,7.2,1.00E+07,1754319,6
175,7.4,2.60E+07,50800000,6
95,7.2,1.20E+08,162792677,11
25,8.4,150000,NA,12
96,6.8,2.00E+08,137850096,12
94,8.1,4.00E+06,NA,11
95,5.9,2.00E+07,51431160,7
115,6.5,6.00E+07,56702901,3
99,6.5,1.50E+07,5702083,9
88,7,120000,NA,3
79,6.6,8.00E+05,NA,12
138,7.6,4.00E+07,141340178,12
99,7,2.00E+06,NA,10
101,5.3,9.20E+07,67344392,2
117,6.9,3.50E+07,7458269,9
122,7,2627000,NA,3
101,5.6,2.00E+07,15408822,1
87,7.7,560000,515005,7
86,5.1,2500000,40041683,1
86,4.7,4.00E+06,17314483,4
96,7.5,3.20E+07,31493782,9
97,6.8,6500000,1029017,7
144,6.9,6.50E+07,56083966,5
128,7.2,4.00E+07,107458785,7
99,6.3,4.00E+06,NA,4
107,6.6,3.00E+07,21835784,4
100,5.8,1.00E+07,29392418,11
100,4.7,2.50E+07,52528330,11
109,6.1,3.60E+07,26183197,4
120,7.9,2.00E+06,NA,12
108,6.7,1.60E+07,9172810,1
91,7.3,NA,17508936,4
136,6.1,4.00E+07,42615685,5
125,7,2.00E+07,5749134,12
122,6.8,1.50E+07,17237244,7
82,6.2,1.70E+07,30324946,10
101,7.5,1800000,26505000,11
88,6.6,4500000,44793200,2
99,5.7,7.00E+06,49369900,8
89,5.1,8.00E+06,22168359,8
164,7.4,1.60E+07,26400000,12
108,6.5,1.40E+07,15483540,6
105,6.8,1.00E+07,20338609,6
90,7.7,NA,18434,8
117,7.4,3.00E+06,20966644,12
100,7.1,8700000,5480996,5
106,7,7.00E+06,9190525,10
101,7.2,6.00E+06,NA,10
121,7.5,1.70E+07,16311763,12
89,5.4,2.80E+07,8119205,7
99,7.6,7.00E+06,9166863,10
102,4.2,5.20E+07,1891821,5
125,8,1800000,NA,9
108,5.6,8.00E+06,34746109,4
91,5.9,4.00E+07,18438149,3
149,7.4,4.00E+07,108706165,7
131,6.3,3.00E+07,50300000,5
114,6.5,2.80E+07,25977365,9
107,6.6,1.40E+07,4741987,1
101,7.4,1.10E+07,41227069,1
146,7.1,1.00E+08,78616689,6
93,5.5,6.20E+07,25857987,11
99,4.9,2.50E+07,10719367,10
86,6.3,NA,NA,8
106,5,3.50E+07,28064226,6
106,7.3,6500000,64148,7
101,7.1,3.00E+07,40566655,4
100,6.1,12500000,48637684,2
125,7.2,3.00E+07,65010106,12
123,7.8,1.20E+07,15294553,8
105,5.9,6.90E+07,37516013,6
87,5.8,70000,NA,3
121,6.7,5.00E+07,50007168,2
100,4,2.60E+07,NA,2
78,6.9,1.20E+07,72217000,2
90,6.3,3.00E+07,108360000,11
133,7.4,4.50E+07,24343673,9
110,6.5,1.20E+07,70011073,2
96,5.2,7.00E+06,20257000,2
99,7.2,NA,2277396,7
106,6.3,1.00E+07,NA,8
81,7.7,1.90E+07,22245861,12
106,5.2,5.00E+06,17382982,10
107,5.7,1.30E+07,18004225,3
112,6.2,1.60E+07,317125,4
91,4.9,750000,NA,1
107,6.8,NA,16025394,4
90,5.4,650000,NA,8
100,4.9,1.30E+08,60522097,5
97,6.3,5.80E+07,28328132,11
104,5.9,4500000,108229,4
110,5.3,3.90E+07,5881504,2
102,5,2.60E+07,47285499,3
100,4.5,2.60E+07,23222861,6
141,7.2,7.00E+07,617840,5
125,7.3,1.50E+07,927107,2
98,5.1,3.00E+06,24629916,8
124,6.4,8.50E+07,172620724,7
91,6.2,2600000,2850263,9
130,8.5,4400000,NA,1
88,7.8,3500000,83400000,7
124,7.4,NA,621240,9
112,7.5,NA,18811135,4
90,8,2.80E+07,217350219,11
113,6.7,8.00E+06,3014541,12
97,6.1,5.00E+06,326308,9
96,5.6,3.00E+07,14208384,6
101,5.1,3.50E+07,25863915,10
206,5.5,1.55E+08,34293771,11
106,7,2.00E+06,NA,5
81,6.2,2.80E+07,66950483,10
103,6.2,6.00E+07,13395939,10
165,6.8,1.07E+08,58183966,12
108,6.5,2.00E+08,334185206,3
113,6.4,1.70E+08,76846624,12
116,8.5,1.10E+07,78900000,5
116,6.3,7.50E+07,47748610,11
154,8.4,18500000,85200000,7
86,5.4,4.50E+07,25200412,7
120,7.1,3.20E+07,36733909,1
99,4.8,1.50E+07,33860010,9
95,5.7,1.40E+07,25482931,3
101,6.3,NA,578382,12
107,5.6,NA,4556,9
106,6.9,9.00E+06,6262942,10
121,7.6,9.00E+06,112935,5
78,4,20000,NA,10
123,7.8,NA,NA,12
90,5.6,750000,NA,2
128,6.2,5.50E+07,7221458,9
220,5.8,5.70E+07,15527125,12
108,6.9,2500000,548712,8
120,5.8,1.10E+08,66002193,3
152,7.9,6.00E+07,32522352,9
97,5.3,8.00E+06,52961,2
105,5.4,3.70E+07,20991497,5
94,2.3,2.00E+07,5132655,11
104,6.3,6.00E+07,74058698,4
90,5.9,4.20E+07,87856565,1
108,7.1,250000,NA,2
90,5.3,2.00E+07,25077977,9
92,5.2,6.00E+07,217326336,12
87,4.4,7.50E+07,133103929,12
92,5,9.00E+07,85884815,12
88,4.5,7.50E+07,219613391,12
180,8.3,1.80E+07,51600000,10
132,7.3,1.03E+08,274299,2
102,5.7,4.80E+07,93607673,7
122,8.4,1.50E+07,130058047,9
107,5.5,1.90E+07,7156725,3
176,7.8,1.00E+08,130127620,11
112,7.5,777000,115000000,8
94,5.2,1.00E+07,NA,9
86,4.9,990000,NA,12
101,8.6,7500000,6712241,10
138,7.3,4.00E+07,150117807,12
90,4.7,350000,4000000,5
94,6,3.50E+07,13264986,8
95,7,1.10E+07,101736215,7
108,6.4,3.00E+07,145096820,8
102,7.6,7.00E+06,15047419,4
113,6.7,5.00E+07,56724080,4
133,7.3,58800000,350123553,12
101,7.5,NA,6003587,8
74,6.3,5.50E+07,104354205,8
124,5.8,1700000,183490,7
155,7.2,3.60E+07,44175394,12
90,4.3,3.00E+06,NA,8
93,5.9,2500000,64359,6
127,7.9,8900000,225377,7
83,4.3,1.20E+07,7001720,10
91,5,1.40E+07,16298046,5
100,7.3,4500000,12574715,10
103,6.3,1.40E+07,75078,12
97,6.9,1.40E+07,18535191,4
96,7.5,NA,23808111,1
108,7,3.00E+07,8535575,9
89,4.6,4.50E+07,65557989,4
97,4.6,2.50E+07,31526393,8
96,5.9,6.00E+07,32122249,12
103,6.7,3.00E+07,106694016,3
94,7.1,5.00E+07,58297830,12
143,6.3,5.00E+07,2175312,12
98,7.2,2.60E+07,84136909,7
94,5.7,1.80E+07,15155772,7
102,5.6,3.80E+07,24044532,5
145,7.3,2.50E+07,13038660,12
146,6.7,1.50E+08,133375846,5
109,7.6,3.00E+06,141600000,7
90,6.2,NA,NA,5
148,6.7,7.50E+07,39251128,12
129,6.6,NA,12802907,1
99,5.4,6500000,84263837,10
118,5.2,6.50E+07,85911262,11
107,7,3768785,8000000,5
93,8.1,4.00E+06,39200000,4
90,7.3,8.00E+06,3442820,12
130,6.9,3.00E+07,4463292,10
92,7,1.00E+05,1316074,7
119,6,4.00E+06,NA,11
129,7.3,1.00E+07,3205244,11
117,7.4,1.30E+08,180191634,7
91,7.6,1.00E+06,287761,9
94,6.3,3500000,NA,9
109,6.1,3.00E+07,10965209,1
108,5.7,3200000,NA,9
117,7.3,12500000,21078145,12
83,6.6,1.05E+08,90646554,10
156,6.8,5.50E+07,75530832,12
108,6.4,1.80E+07,3203044,8
114,6.1,2.30E+07,18653615,11
289,8.5,31500000,78800000,8
139,7.8,4.00E+07,50859889,12
140,7.6,6.20E+07,172071312,6
86,5.2,5.00E+06,17683670,7
115,6.8,NA,20207003,9
89,6.2,5.00E+06,12947763,3
86,6.9,750000,5518918,4
104,5.3,1.20E+07,18595716,3
103,6.3,3.10E+07,53133888,8
115,6.6,NA,1554566,5
107,6.6,1.20E+07,7918283,9
95,4.6,3.20E+07,82301521,1
91,4.2,5.00E+06,NA,5
130,7.7,44500000,136019448,10
117,7.2,21500000,24362501,3
153,6.6,1.40E+08,201573391,7
88,5.7,2.70E+07,15988876,12
88,7.6,1.30E+07,11501093,10
120,5.8,1.10E+08,24004159,6
66,5.3,150000,NA,2
97,7.1,1.00E+08,46440491,2
93,6.1,5.00E+06,21197315,8
139,7.7,5.00E+07,147637474,12
133,7.6,2.50E+07,9910,8
100,6,950000,NA,4
132,6.3,5.00E+07,30306268,10
109,6.3,2.00E+07,19976073,11
94,6.3,6.50E+07,19548064,10
128,5.9,6.00E+07,22326247,1
105,6,NA,21160089,3
95,6.8,1.20E+08,84037039,6
123,7.8,3.00E+07,50921738,8
88,6.6,1.30E+07,1024175,5
99,6.1,NA,NA,6
114,7.5,3.00E+07,31655091,11
121,7.3,2.50E+07,37738400,12
94,6.2,6.30E+07,213079163,7
68,7,1.70E+07,53868030,5
95,6.6,3.30E+07,205399422,6
165,6.6,1.30E+08,49551662,11
105,6.6,7.00E+06,2062066,10
103,5.5,4.00E+07,37752931,8
178,7.9,2.37E+08,760505847,12
141,7.5,2.50E+08,458991599,4
109,5.6,6.00E+07,80281096,8
84,6.5,8600000,14373825,11
98,7.1,1.70E+07,9430988,6
82,3.9,3.00E+06,NA,8
102,7.6,3.00E+05,16892,9
159,8.4,18026148,6498000,7
91,6.8,3.00E+07,66600000,7
97,5.8,8.00E+07,18318000,11
143,7.5,2.50E+07,34300771,9
99,5.9,5.00E+07,16671505,7
130,6.4,1.60E+07,28734552,6
97,2.5,1.80E+07,27141959,3
99,6,3.00E+07,60269340,4
101,5.6,7.00E+07,22531698,8
87,5.3,3.00E+06,418268,8
116,8.5,1.90E+07,210609762,7
108,7.8,4.00E+07,118500000,11
118,7.4,4.00E+07,87666629,5
119,6.8,1.90E+07,65807024,3
147,6.6,1.30E+08,138396624,7
116,5.6,7.00E+07,30157016,6
100,6.7,2.00E+07,55461307,7
98,7.1,1.80E+07,60057639,11
97,5.7,2.00E+07,100292856,5
89,6.7,1.00E+07,7764027,9
96,5,8500000,21564616,9
84,6,NA,140016,1
93,5.2,3.00E+07,NA,9
91,3.6,7.00E+07,14294842,9
70,7.4,NA,102797150,8
135,6.5,1.00E+07,2185266,10
82,7.1,2.00E+06,NA,4
93,5.7,3.20E+07,NA,1
123,6.6,8.00E+07,41523271,10
111,6.4,2.00E+07,5205343,8
98,6.4,NA,NA,9
90,5.4,1.00E+06,NA,9
99,5.4,4.00E+07,15279680,8
87,5.5,950000,NA,8
98,5.9,9.00E+06,NA,10
98,6.1,NA,NA,4
102,6.3,1.20E+07,75074950,4
76,2.8,1.50E+07,11144518,1
134,7.3,NA,7501404,10
90,5.6,5.10E+07,72601713,8
184,8.1,1.10E+07,NA,12
95,5.9,NA,NA,3
98,6.5,5.00E+07,26536120,4
116,4.2,7.00E+07,5851188,3
108,6.9,3300000,2961991,8
101,6.5,2361000,NA,7
126,7.6,3.50E+07,251188924,6
125,3.7,1.25E+08,107285004,6
128,8.3,1.50E+08,205343774,6
121,5.4,1.00E+08,184031112,6
126,7,8.00E+07,162831698,6
183,6.9,2.50E+08,330249062,3
148,8.4,3500000,NA,1
91,3.6,6500000,10149779,10
96,5.5,1800000,NA,6
110,5,2.00E+07,8888355,9
119,2.4,4.40E+07,21471685,5
131,5.9,2.09E+08,65173160,4
118,5.7,5.30E+07,55808744,3
102,6.4,2.00E+07,11169531,1
86,5.6,1.70E+07,27854896,1
107,3.8,6.00E+06,869325,6
93,7.3,1800000,12784397,6
124,6.2,6.00E+07,19445217,2
105,5.5,NA,36310118,6
81,6.8,1.20E+07,63071133,12
102,5.6,NA,42640890,2
106,6.4,1.40E+07,32645546,2
120,7.1,16500000,18663911,3
93,6,4.80E+07,37879996,10
99,6.1,8.00E+07,109993847,12
91,6.2,1.50E+08,126597121,10
86,6,2800000,475000,9
110,6.3,17500000,19179969,8
92,7.5,1.50E+07,73326666,2
92,6.3,2.20E+07,2963012,9
109,7.9,3.00E+06,8114507,4
105,8.1,2500000,5400000,1
80,8,2700000,5792822,2
104,7.4,8.00E+06,16168741,9
105,7.2,3200000,5776314,9
106,6.4,4.00E+07,59068786,11
112,7.8,1.30E+07,22858926,9
104,7.1,1.80E+07,7739049,9
91,7.4,3300000,8108247,9
