duration,imdb_score,budget
101,3.3,1500000
104,7.3,1.50E+07
111,7.5,1.20E+07
97,7.2,1.60E+07
100,4.8,8.50E+07
107,6.4,8.00E+06
85,7.2,6.00E+06
96,8.9,350000
108,5.6,2.20E+07
114,6.8,2.50E+07
120,6.1,4.20E+07
89,6.3,1.00E+06
102,6.4,2.00E+07
168,7.6,4.00E+06
142,5.9,3.50E+07
107,5.9,7.60E+07
109,6.7,6.10E+07
96,4.8,3500000
87,5.3,60000
91,7.4,1.00E+06
127,7.2,5.00E+06
101,5.9,6.00E+06
161,8.3,1.20E+07
158,5.8,2.00E+08
87,5.1,2500000
129,7.5,1.20E+07
123,6.8,3.50E+07
93,5.9,1.30E+07
124,7.7,2.00E+07
109,7.2,4.20E+07
112,7.1,5.00E+07
96,7.1,NA
108,7.7,1.50E+07
111,6.1,3.00E+07
103,6,4.30E+07
100,7,1.50E+07
88,5.2,3.00E+05
123,6.2,2.80E+07
93,4.3,2.00E+07
82,4,6.00E+06
122,7.8,5.50E+07
113,6.6,3.20E+07
83,6.1,2.80E+07
117,7.7,6.50E+07
102,6.2,1.10E+08
125,5.9,4.20E+07
96,5.6,1.70E+07
128,7.5,4.00E+07
89,7.7,439000
128,6.3,1.75E+08
113,5.6,2.00E+07
99,6.8,7.50E+07
100,7.7,8.00E+06
90,7.5,NA
121,5.8,1.30E+07
154,6.8,9.00E+06
95,5.3,3.00E+06
110,7,4.10E+07
80,7.1,2500000
108,5.9,3.00E+07
123,6.5,4.00E+07
79,7.1,3.00E+07
79,7.1,3.00E+07
121,4.6,5.00E+06
135,8.2,5.80E+07
98,7.2,1.00E+07
175,7.4,2.60E+07
95,7.2,1.20E+08
25,8.4,150000
96,6.8,2.00E+08
94,8.1,4.00E+06
95,5.9,2.00E+07
115,6.5,6.00E+07
99,6.5,1.50E+07
88,7,120000
79,6.6,8.00E+05
138,7.6,4.00E+07
99,7,2.00E+06
101,5.3,9.20E+07
117,6.9,3.50E+07
122,7,2627000
101,5.6,2.00E+07
87,7.7,560000
86,5.1,2500000
86,4.7,4.00E+06
96,7.5,3.20E+07
97,6.8,6500000
144,6.9,6.50E+07
128,7.2,4.00E+07
99,6.3,4.00E+06
107,6.6,3.00E+07
100,5.8,1.00E+07
100,4.7,2.50E+07
109,6.1,3.60E+07
120,7.9,2.00E+06
108,6.7,1.60E+07
91,7.3,NA
136,6.1,4.00E+07
125,7,2.00E+07
122,6.8,1.50E+07
82,6.2,1.70E+07
101,7.5,1800000
88,6.6,4500000
99,5.7,7.00E+06
89,5.1,8.00E+06
164,7.4,1.60E+07
108,6.5,1.40E+07
105,6.8,1.00E+07
90,7.7,NA
117,7.4,3.00E+06
100,7.1,8700000
106,7,7.00E+06
101,7.2,6.00E+06
121,7.5,1.70E+07
89,5.4,2.80E+07
99,7.6,7.00E+06
102,4.2,5.20E+07
125,8,1800000
108,5.6,8.00E+06
91,5.9,4.00E+07
149,7.4,4.00E+07
131,6.3,3.00E+07
114,6.5,2.80E+07
107,6.6,1.40E+07
101,7.4,1.10E+07
146,7.1,1.00E+08
93,5.5,6.20E+07
99,4.9,2.50E+07
86,6.3,NA
106,5,3.50E+07
106,7.3,6500000
101,7.1,3.00E+07
100,6.1,12500000
125,7.2,3.00E+07
123,7.8,1.20E+07
105,5.9,6.90E+07
87,5.8,70000
121,6.7,5.00E+07
100,4,2.60E+07
78,6.9,1.20E+07
90,6.3,3.00E+07
133,7.4,4.50E+07
110,6.5,1.20E+07
96,5.2,7.00E+06
99,7.2,NA
106,6.3,1.00E+07
81,7.7,1.90E+07
106,5.2,5.00E+06
107,5.7,1.30E+07
112,6.2,1.60E+07
91,4.9,750000
107,6.8,NA
90,5.4,650000
100,4.9,1.30E+08
97,6.3,5.80E+07
104,5.9,4500000
110,5.3,3.90E+07
102,5,2.60E+07
100,4.5,2.60E+07
141,7.2,7.00E+07
125,7.3,1.50E+07
98,5.1,3.00E+06
124,6.4,8.50E+07
91,6.2,2600000
130,8.5,4400000
88,7.8,3500000
124,7.4,NA
112,7.5,NA
90,8,2.80E+07
113,6.7,8.00E+06
97,6.1,5.00E+06
96,5.6,3.00E+07
101,5.1,3.50E+07
206,5.5,1.55E+08
106,7,2.00E+06
81,6.2,2.80E+07
103,6.2,6.00E+07
165,6.8,1.07E+08
108,6.5,2.00E+08
113,6.4,1.70E+08
116,8.5,1.10E+07
116,6.3,7.50E+07
154,8.4,18500000
86,5.4,4.50E+07
120,7.1,3.20E+07
99,4.8,1.50E+07
95,5.7,1.40E+07
101,6.3,NA
107,5.6,NA
106,6.9,9.00E+06
121,7.6,9.00E+06
78,4,20000
123,7.8,NA
90,5.6,750000
128,6.2,5.50E+07
220,5.8,5.70E+07
108,6.9,2500000
120,5.8,1.10E+08
152,7.9,6.00E+07
97,5.3,8.00E+06
105,5.4,3.70E+07
94,2.3,2.00E+07
104,6.3,6.00E+07
90,5.9,4.20E+07
108,7.1,250000
90,5.3,2.00E+07
92,5.2,6.00E+07
87,4.4,7.50E+07
92,5,9.00E+07
88,4.5,7.50E+07
180,8.3,1.80E+07
132,7.3,1.03E+08
102,5.7,4.80E+07
122,8.4,1.50E+07
107,5.5,1.90E+07
176,7.8,1.00E+08
112,7.5,777000
94,5.2,1.00E+07
86,4.9,990000
101,8.6,7500000
138,7.3,4.00E+07
90,4.7,350000
94,6,3.50E+07
95,7,1.10E+07
108,6.4,3.00E+07
102,7.6,7.00E+06
113,6.7,5.00E+07
133,7.3,58800000
101,7.5,NA
74,6.3,5.50E+07
124,5.8,1700000
155,7.2,3.60E+07
90,4.3,3.00E+06
93,5.9,2500000
127,7.9,8900000
83,4.3,1.20E+07
91,5,1.40E+07
100,7.3,4500000
103,6.3,1.40E+07
97,6.9,1.40E+07
96,7.5,NA
108,7,3.00E+07
89,4.6,4.50E+07
97,4.6,2.50E+07
96,5.9,6.00E+07
103,6.7,3.00E+07
94,7.1,5.00E+07
143,6.3,5.00E+07
98,7.2,2.60E+07
94,5.7,1.80E+07
102,5.6,3.80E+07
145,7.3,2.50E+07
146,6.7,1.50E+08
109,7.6,3.00E+06
90,6.2,NA
148,6.7,7.50E+07
129,6.6,NA
99,5.4,6500000
118,5.2,6.50E+07
107,7,3768785
93,8.1,4.00E+06
90,7.3,8.00E+06
130,6.9,3.00E+07
92,7,1.00E+05
119,6,4.00E+06
129,7.3,1.00E+07
117,7.4,1.30E+08
91,7.6,1.00E+06
94,6.3,3500000
109,6.1,3.00E+07
108,5.7,3200000
117,7.3,12500000
83,6.6,1.05E+08
156,6.8,5.50E+07
108,6.4,1.80E+07
114,6.1,2.30E+07
289,8.5,31500000
139,7.8,4.00E+07
140,7.6,6.20E+07
86,5.2,5.00E+06
115,6.8,NA
89,6.2,5.00E+06
86,6.9,750000
104,5.3,1.20E+07
103,6.3,3.10E+07
115,6.6,NA
107,6.6,1.20E+07
95,4.6,3.20E+07
91,4.2,5.00E+06
130,7.7,44500000
117,7.2,21500000
153,6.6,1.40E+08
88,5.7,2.70E+07
88,7.6,1.30E+07
120,5.8,1.10E+08
66,5.3,150000
97,7.1,1.00E+08
93,6.1,5.00E+06
139,7.7,5.00E+07
133,7.6,2.50E+07
100,6,950000
132,6.3,5.00E+07
109,6.3,2.00E+07
94,6.3,6.50E+07
128,5.9,6.00E+07
105,6,NA
95,6.8,1.20E+08
123,7.8,3.00E+07
88,6.6,1.30E+07
99,6.1,NA
114,7.5,3.00E+07
121,7.3,2.50E+07
94,6.2,6.30E+07
68,7,1.70E+07
95,6.6,3.30E+07
165,6.6,1.30E+08
105,6.6,7.00E+06
103,5.5,4.00E+07
178,7.9,2.37E+08
141,7.5,2.50E+08
109,5.6,6.00E+07
84,6.5,8600000
98,7.1,1.70E+07
82,3.9,3.00E+06
102,7.6,3.00E+05
159,8.4,18026148
91,6.8,3.00E+07
97,5.8,8.00E+07
143,7.5,2.50E+07
99,5.9,5.00E+07
130,6.4,1.60E+07
97,2.5,1.80E+07
99,6,3.00E+07
101,5.6,7.00E+07
87,5.3,3.00E+06
116,8.5,1.90E+07
108,7.8,4.00E+07
118,7.4,4.00E+07
119,6.8,1.90E+07
147,6.6,1.30E+08
116,5.6,7.00E+07
100,6.7,2.00E+07
98,7.1,1.80E+07
97,5.7,2.00E+07
89,6.7,1.00E+07
96,5,8500000
84,6,NA
93,5.2,3.00E+07
91,3.6,7.00E+07
70,7.4,NA
135,6.5,1.00E+07
82,7.1,2.00E+06
93,5.7,3.20E+07
123,6.6,8.00E+07
111,6.4,2.00E+07
98,6.4,NA
90,5.4,1.00E+06
99,5.4,4.00E+07
87,5.5,950000
98,5.9,9.00E+06
98,6.1,NA
102,6.3,1.20E+07
76,2.8,1.50E+07
134,7.3,NA
90,5.6,5.10E+07
184,8.1,1.10E+07
95,5.9,NA
